lead_id,name,signup_date,source,email_opens_30d,email_clicks_30d,site_visits_30d,pricing_page_visits_30d,cart_abandons_90d,wishlist_items,past_purchases,lifetime_value,days_since_last_activity,_true_persona
HC-0505,Quinn Meyer,2025-07-30,Email Referral,0,0,0,0,0,0,1,399.51,320,Lapsed Buyer
HC-0506,Skyler Ito,2025-07-08,Paid Social,8,2,2,0,0,1,0,0.0,33,Window Shopper
HC-0507,Rowan Barros,2024-12-23,Influencer,8,0,5,0,0,0,0,0.0,4,Window Shopper
HC-0508,Alex Fuentes,2024-12-07,Email Referral,2,1,1,0,0,1,0,0.0,24,Window Shopper
HC-0509,Zara Osei,2026-06-15,Paid Social,10,3,11,4,3,7,0,0.0,9,Engaged Prospect
HC-0510,Casey Novak,2025-05-15,Organic Search,6,1,0,0,0,3,0,0.0,19,Window Shopper
HC-0511,Taylor Osei,2024-10-08,Email Referral,2,0,0,0,0,1,3,1200.87,173,Lapsed Buyer
HC-0512,Taylor Ito,2026-07-29,Paid Social,4,0,2,1,0,0,0,0.0,0,New Signup
HC-0513,Devon Mbeki,2024-07-18,Paid Social,12,5,15,4,0,6,7,3793.01,6,Whale Collector
HC-0514,Amara Mbeki,2024-09-29,Convention Booth,0,0,0,0,0,4,2,828.8,207,Lapsed Buyer
HC-0515,Riley Okafor,2026-07-31,Email Referral,4,1,4,0,0,0,0,0.0,0,New Signup
HC-0516,Avery Meyer,2025-09-21,Paid Social,8,0,1,1,0,3,0,0.0,24,Window Shopper
HC-0517,Priya Reyes,2024-11-23,Paid Social,8,7,13,4,0,8,9,4974.5,9,Whale Collector
HC-0518,Emerson Silva,2024-11-22,Paid Social,2,0,1,0,0,0,3,835.63,296,Lapsed Buyer
HC-0519,Quinn Mbeki,2026-02-01,Paid Social,13,1,12,3,1,1,0,0.0,4,Engaged Prospect
HC-0520,Quinn Lindqvist,2024-02-20,Organic Search,2,0,0,0,0,0,3,985.98,304,Lapsed Buyer
HC-0521,Victor Silva,2026-04-10,Email Referral,8,1,2,0,0,1,0,0.0,37,Window Shopper
HC-0522,Andre Torres,2025-08-31,Direct,1,0,0,0,0,2,1,510.01,288,Lapsed Buyer
HC-0523,Sofia Lindqvist,2026-05-14,Organic Search,9,3,4,3,2,3,0,0.0,9,Engaged Prospect
HC-0524,Lucia Okafor,2026-01-15,Direct,5,0,0,0,0,0,0,0.0,4,Window Shopper
HC-0525,Avery Tanaka,2025-05-15,Direct,4,0,2,0,0,1,0,0.0,44,Window Shopper
HC-0526,Ingrid Torres,2025-07-26,Paid Social,2,0,0,0,0,2,1,441.64,245,Lapsed Buyer
HC-0527,Sofia Haddad,2026-05-21,Email Referral,10,9,9,3,1,3,0,0.0,4,Engaged Prospect
HC-0528,Casey Tanaka,2026-07-25,Organic Search,3,1,5,2,0,0,0,0.0,8,New Signup
HC-0529,Sofia Ito,2026-05-18,Organic Search,3,5,8,4,1,4,0,0.0,3,Engaged Prospect
HC-0530,Felix Reyes,2025-04-24,Organic Search,6,3,3,0,0,0,0,0.0,27,Window Shopper
HC-0531,Sam Kowalski,2026-06-28,Convention Booth,10,3,12,3,1,4,0,0.0,3,Engaged Prospect
HC-0532,Hayden Mbeki,2023-04-25,Email Referral,14,4,6,2,0,7,19,9187.87,14,Whale Collector
HC-0533,Avery Larsen,2025-10-08,Paid Social,0,0,1,0,0,0,0,0.0,35,Window Shopper
HC-0534,Marcus Petrov,2026-07-09,Paid Social,2,0,6,1,0,2,0,0.0,1,New Signup
HC-0535,Elena Meyer,2023-06-22,Organic Search,1,0,0,0,0,0,2,576.02,205,Lapsed Buyer
HC-0536,Omar Petrov,2026-06-15,Convention Booth,11,5,4,4,2,5,0,0.0,7,Engaged Prospect
HC-0537,Omar Silva,2026-03-14,Convention Booth,14,4,14,6,2,7,0,0.0,8,Engaged Prospect
HC-0538,Zara Osei,2025-03-15,Email Referral,6,1,3,1,0,1,0,0.0,4,Window Shopper
HC-0539,Devon Novak,2024-06-08,Influencer,0,0,0,0,0,0,3,927.63,254,Lapsed Buyer
HC-0540,Ingrid Haddad,2025-07-29,Paid Social,9,2,5,1,0,0,0,0.0,22,Window Shopper
HC-0541,Naomi Mbeki,2026-07-16,Influencer,2,0,4,0,0,1,0,0.0,10,New Signup
HC-0542,Reese Chen,2024-05-10,Paid Social,0,0,1,0,0,0,2,494.81,95,Lapsed Buyer
HC-0543,Diego Mbeki,2025-04-13,Organic Search,2,0,1,0,0,5,1,474.09,268,Lapsed Buyer
HC-0544,Jordan Tanaka,2024-11-05,Organic Search,0,0,2,0,0,0,3,987.45,358,Lapsed Buyer
HC-0545,Elena Nguyen,2024-01-08,Paid Social,0,0,0,0,0,0,1,343.88,93,Lapsed Buyer
HC-0546,Reese Kowalski,2024-10-21,Paid Social,9,3,3,0,0,0,0,0.0,23,Window Shopper
HC-0547,Diego Meyer,2026-05-28,Email Referral,14,5,12,2,0,3,0,0.0,8,Engaged Prospect
HC-0548,Riley Anders,2025-01-17,Organic Search,3,1,2,0,0,0,0,0.0,33,Window Shopper
HC-0549,Quinn Kowalski,2026-01-24,Organic Search,2,1,0,0,0,0,0,0.0,19,Window Shopper
HC-0550,Lucia Mbeki,2026-07-05,Paid Social,6,1,14,3,2,8,0,0.0,9,Engaged Prospect
HC-0551,Omar Tanaka,2024-12-29,Email Referral,9,2,3,0,0,1,0,0.0,8,Window Shopper
HC-0552,Amara Fuentes,2024-09-11,Convention Booth,0,0,0,0,0,2,2,646.44,228,Lapsed Buyer
HC-0553,Ingrid Osei,2026-02-26,Paid Social,5,4,3,2,1,4,0,0.0,0,Engaged Prospect
HC-0554,Priya Nguyen,2026-04-11,Organic Search,11,2,7,2,1,2,0,0.0,9,Engaged Prospect
HC-0555,Diego Fuentes,2026-05-13,Direct,9,4,8,5,2,6,0,0.0,8,Engaged Prospect
HC-0556,Morgan Novak,2026-05-16,Paid Social,16,5,3,4,1,0,0,0.0,4,Engaged Prospect
HC-0557,Taylor Kim,2026-07-04,Organic Search,8,0,2,0,0,1,0,0.0,1,New Signup
HC-0558,Reese Rossi,2023-09-24,Organic Search,6,8,15,3,1,8,11,5930.52,6,Whale Collector
HC-0559,Diego Osei,2026-02-06,Influencer,8,2,7,3,1,4,0,0.0,7,Engaged Prospect
HC-0560,Andre Rossi,2026-06-04,Direct,12,5,9,4,0,6,0,0.0,7,Engaged Prospect
HC-0561,Ingrid Tanaka,2025-05-04,Convention Booth,9,1,1,0,0,1,0,0.0,34,Window Shopper
HC-0562,Marcus Fuentes,2023-08-08,Email Referral,7,5,12,7,1,6,17,10167.55,1,Whale Collector
HC-0563,Naomi Ito,2026-01-11,Paid Social,6,0,5,0,0,0,0,0.0,6,Window Shopper
HC-0564,Casey Haddad,2026-01-31,Paid Social,8,2,10,1,0,3,0,0.0,5,Engaged Prospect
HC-0565,Taylor Lindqvist,2026-05-03,Organic Search,11,4,7,2,2,6,0,0.0,1,Engaged Prospect
HC-0566,Elena Fuentes,2026-07-15,Direct,3,0,5,1,0,1,0,0.0,2,New Signup
HC-0567,Felix Osei,2026-02-19,Direct,8,2,7,3,0,6,0,0.0,2,Engaged Prospect
HC-0568,Sam Kim,2025-04-06,Organic Search,1,0,1,0,0,1,3,895.24,147,Lapsed Buyer
HC-0569,Diego Rossi,2025-12-02,Paid Social,1,2,3,0,0,0,0,0.0,33,Window Shopper
HC-0570,Sofia Ito,2026-03-08,Organic Search,3,3,0,0,0,1,0,0.0,37,Window Shopper
HC-0571,Diego Mbeki,2026-07-16,Organic Search,3,3,1,2,0,1,1,402.58,6,New Signup
HC-0572,Omar Anders,2026-03-21,Convention Booth,6,6,4,5,1,4,0,0.0,3,Engaged Prospect
HC-0573,Felix Osei,2026-07-25,Convention Booth,5,2,5,1,0,0,1,336.92,1,New Signup
HC-0574,Marcus Okafor,2026-07-31,Organic Search,3,2,3,0,0,0,0,0.0,12,New Signup
HC-0575,Victor Lindqvist,2025-04-10,Paid Social,1,0,1,0,0,2,2,596.01,245,Lapsed Buyer
HC-0576,Rowan Osei,2024-05-28,Organic Search,20,1,11,4,2,3,12,6444.71,17,Whale Collector
HC-0577,Victor Silva,2024-09-10,Email Referral,0,0,0,0,0,0,2,463.56,135,Lapsed Buyer
HC-0578,Naomi Mbeki,2025-09-27,Organic Search,0,0,0,0,0,3,2,660.15,201,Lapsed Buyer
HC-0579,Hayden Lindqvist,2026-07-24,Email Referral,0,2,5,0,0,0,0,0.0,3,New Signup
HC-0580,Diego Chen,2026-07-08,Paid Social,12,5,9,3,3,2,0,0.0,3,Engaged Prospect
HC-0581,Kenji Reyes,2026-07-16,Direct,0,1,0,0,0,0,0,0.0,2,New Signup
HC-0582,Sam Novak,2026-07-19,Paid Social,0,0,3,0,0,1,0,0.0,6,New Signup
HC-0583,Sam Haddad,2024-07-01,Organic Search,3,0,0,0,0,2,8,4070.4,89,At-Risk VIP
HC-0584,Hayden Mbeki,2026-04-13,Organic Search,7,0,0,1,0,2,0,0.0,21,Window Shopper
HC-0585,Amara Silva,2023-03-15,Organic Search,24,4,11,1,1,3,19,8051.31,3,Whale Collector
HC-0586,Alex Meyer,2026-07-31,Email Referral,1,2,2,1,0,1,0,0.0,5,New Signup
HC-0587,Victor Osei,2026-07-11,Organic Search,0,0,1,0,0,1,0,0.0,11,New Signup
HC-0588,Riley Fuentes,2026-07-08,Organic Search,0,0,0,1,0,1,0,0.0,8,New Signup
HC-0589,Devon Osei,2023-09-29,Paid Social,1,0,1,0,0,1,1,394.45,359,Lapsed Buyer
HC-0590,Skyler Okafor,2024-02-29,Paid Social,0,0,1,0,0,0,1,337.02,126,Lapsed Buyer
HC-0591,Andre Fuentes,2024-06-13,Organic Search,0,0,0,0,0,1,2,587.53,276,Lapsed Buyer
HC-0592,Ingrid Petrov,2025-06-16,Influencer,2,2,1,0,0,1,0,0.0,27,Window Shopper
HC-0593,Priya Reyes,2026-07-21,Paid Social,4,2,1,0,0,0,0,0.0,1,New Signup
HC-0594,Rowan Kim,2023-09-13,Paid Social,1,0,0,0,0,0,3,705.45,186,Lapsed Buyer
HC-0595,Andre Rossi,2025-07-15,Organic Search,7,0,6,0,0,0,0,0.0,14,Window Shopper
HC-0596,Lucia Tanaka,2024-09-24,Email Referral,1,0,3,0,0,2,0,0.0,26,Window Shopper
HC-0597,Sofia Lindqvist,2023-08-16,Convention Booth,12,5,10,2,0,5,16,8529.62,13,Whale Collector
HC-0598,Avery Lindqvist,2024-04-16,Email Referral,2,0,1,0,0,1,2,1002.69,312,Lapsed Buyer
HC-0599,Zara Meyer,2023-12-20,Convention Booth,1,0,0,0,0,3,2,792.02,114,Lapsed Buyer
HC-0600,Casey Chen,2026-06-20,Convention Booth,3,2,2,0,0,1,0,0.0,25,Window Shopper
HC-0601,Devon Osei,2026-07-11,Paid Social,0,0,4,0,0,1,0,0.0,11,New Signup
HC-0602,Jordan Rossi,2025-04-25,Direct,1,0,1,0,0,1,1,295.84,200,Lapsed Buyer
HC-0603,Morgan Tanaka,2025-01-27,Convention Booth,3,3,0,1,0,0,0,0.0,18,Window Shopper
HC-0604,Devon Novak,2024-08-13,Convention Booth,2,1,0,0,0,6,9,4349.5,94,At-Risk VIP
HC-0605,Skyler Kowalski,2026-04-09,Convention Booth,6,6,11,2,0,6,0,0.0,8,Engaged Prospect
HC-0606,Diego Larsen,2026-07-10,Organic Search,4,5,8,5,4,3,0,0.0,3,Engaged Prospect
HC-0607,Sofia Petrov,2026-05-16,Organic Search,3,3,2,0,0,0,0,0.0,29,Window Shopper
HC-0608,Kenji Tanaka,2025-03-26,Direct,9,0,0,0,0,0,0,0.0,11,Window Shopper
HC-0609,Reese Okafor,2026-07-14,Organic Search,4,0,1,2,0,0,0,0.0,9,New Signup
HC-0610,Sofia Osei,2026-03-12,Organic Search,8,5,7,1,2,2,0,0.0,6,Engaged Prospect
HC-0611,Devon Mbeki,2026-07-03,Convention Booth,2,2,2,0,0,0,0,0.0,13,New Signup
HC-0612,Quinn Nguyen,2024-03-28,Paid Social,1,0,0,0,0,0,1,283.82,110,Lapsed Buyer
HC-0613,Zara Fuentes,2026-07-21,Email Referral,2,0,3,1,0,0,0,0.0,2,New Signup
HC-0614,Casey Lindqvist,2025-08-01,Direct,1,2,3,0,0,1,0,0.0,31,Window Shopper
HC-0615,Victor Silva,2024-01-12,Influencer,11,8,6,3,0,11,11,4734.83,9,Whale Collector
HC-0616,Kenji Fuentes,2026-07-16,Direct,5,1,6,1,0,1,1,340.97,0,New Signup
HC-0617,Kenji Petrov,2026-04-02,Organic Search,11,4,6,1,2,6,0,0.0,5,Engaged Prospect
HC-0618,Omar Anders,2026-03-17,Direct,7,4,5,5,2,2,0,0.0,0,Engaged Prospect
HC-0619,Elena Mbeki,2026-07-24,Email Referral,4,0,3,1,0,0,0,0.0,4,New Signup
HC-0620,Kenji Fuentes,2024-01-28,Paid Social,1,0,0,0,0,0,1,371.67,338,Lapsed Buyer
HC-0621,Diego Petrov,2026-06-21,Direct,7,7,11,3,2,5,0,0.0,8,Engaged Prospect
HC-0622,Avery Tanaka,2026-04-06,Organic Search,9,4,12,4,0,3,0,0.0,5,Engaged Prospect
HC-0623,Diego Meyer,2026-07-24,Organic Search,3,2,3,0,0,0,0,0.0,0,New Signup
HC-0624,Quinn Anders,2026-07-03,Direct,10,5,9,3,0,2,0,0.0,0,Engaged Prospect
HC-0625,Naomi Kowalski,2025-01-23,Email Referral,0,0,1,0,0,0,1,305.31,214,Lapsed Buyer
HC-0626,Amara Petrov,2022-12-01,Paid Social,0,0,0,0,0,5,11,5886.33,45,At-Risk VIP
HC-0627,Felix Lindqvist,2026-07-26,Influencer,1,0,2,2,0,1,0,0.0,6,New Signup
HC-0628,Ingrid Mbeki,2023-04-07,Organic Search,1,1,0,0,0,6,11,5054.53,109,At-Risk VIP
HC-0629,Priya Chen,2025-08-09,Convention Booth,6,0,2,0,0,0,0,0.0,12,Window Shopper
HC-0630,Lucia Meyer,2023-05-13,Organic Search,11,4,13,2,1,10,10,5049.99,8,Whale Collector
HC-0631,Felix Nguyen,2025-09-16,Convention Booth,8,1,1,0,0,1,0,0.0,25,Window Shopper
HC-0632,Omar Okafor,2026-07-20,Direct,2,0,0,0,0,2,0,0.0,0,New Signup
HC-0633,Jordan Anders,2023-10-26,Direct,1,0,0,0,0,3,10,4400.09,103,At-Risk VIP
HC-0634,Kenji Osei,2026-02-09,Paid Social,16,10,5,3,0,3,0,0.0,2,Engaged Prospect
HC-0635,Omar Anders,2025-02-17,Convention Booth,1,0,0,0,0,1,1,423.81,209,Lapsed Buyer
HC-0636,Sam Osei,2023-05-11,Organic Search,1,0,1,0,0,1,2,787.4,131,Lapsed Buyer
HC-0637,Andre Reyes,2026-02-16,Paid Social,0,1,4,0,0,2,0,0.0,7,Window Shopper
HC-0638,Kenji Reyes,2024-03-10,Organic Search,1,0,0,0,0,0,1,281.92,281,Lapsed Buyer
HC-0639,Alex Osei,2025-09-22,Email Referral,0,1,3,0,0,0,0,0.0,12,Window Shopper
HC-0640,Felix Osei,2026-07-22,Organic Search,4,0,4,2,1,2,0,0.0,11,New Signup
HC-0641,Felix Anders,2025-10-22,Email Referral,3,1,1,0,0,1,0,0.0,21,Window Shopper
HC-0642,Sam Nguyen,2023-11-28,Direct,2,0,0,0,0,2,2,514.92,167,Lapsed Buyer
HC-0643,Rowan Nguyen,2024-05-03,Convention Booth,0,0,1,0,0,0,1,266.46,195,Lapsed Buyer
HC-0644,Omar Meyer,2023-07-03,Paid Social,0,0,0,0,0,1,2,555.98,161,Lapsed Buyer
HC-0645,Naomi Ito,2026-03-12,Influencer,4,2,3,0,0,3,0,0.0,17,Window Shopper
HC-0646,Hayden Kowalski,2023-10-15,Email Referral,0,0,2,0,0,1,2,674.92,287,Lapsed Buyer
HC-0647,Zara Meyer,2024-10-21,Direct,1,0,0,0,0,2,2,784.83,337,Lapsed Buyer
HC-0648,Casey Haddad,2026-04-18,Paid Social,7,0,2,0,0,0,0,0.0,42,Window Shopper
HC-0649,Morgan Haddad,2023-06-04,Paid Social,9,6,5,4,0,4,11,4319.28,16,Whale Collector
HC-0650,Amara Haddad,2026-07-14,Influencer,8,0,2,0,0,0,0,0.0,4,New Signup
HC-0651,Hayden Kim,2025-09-01,Organic Search,0,0,0,0,0,0,3,1063.33,143,Lapsed Buyer
HC-0652,Rowan Meyer,2026-05-18,Email Referral,11,4,9,3,2,2,0,0.0,2,Engaged Prospect
HC-0653,Marcus Larsen,2025-05-21,Paid Social,2,0,0,0,0,2,3,908.29,328,Lapsed Buyer
HC-0654,Reese Tanaka,2026-03-27,Email Referral,16,4,5,3,4,4,0,0.0,9,Engaged Prospect
HC-0655,Omar Nguyen,2025-05-11,Paid Social,1,1,2,1,0,0,0,0.0,43,Window Shopper
HC-0656,Hayden Meyer,2026-07-29,Organic Search,0,1,4,0,0,1,0,0.0,4,New Signup
HC-0657,Hayden Lindqvist,2025-07-07,Paid Social,5,0,2,0,0,1,0,0.0,5,Window Shopper
HC-0658,Morgan Silva,2026-06-26,Email Referral,15,7,4,5,1,3,0,0.0,6,Engaged Prospect
HC-0659,Felix Torres,2026-03-24,Paid Social,7,0,1,0,0,1,0,0.0,7,Window Shopper
HC-0660,Alex Kim,2024-12-06,Direct,1,0,1,0,0,6,12,4719.74,66,At-Risk VIP
HC-0661,Marcus Larsen,2026-02-24,Direct,6,7,9,4,1,3,0,0.0,1,Engaged Prospect
HC-0662,Victor Torres,2026-03-14,Organic Search,9,6,5,5,2,2,0,0.0,7,Engaged Prospect
HC-0663,Jordan Anders,2026-02-04,Email Referral,11,2,4,4,1,4,0,0.0,0,Engaged Prospect
HC-0664,Jordan Anders,2024-07-26,Paid Social,10,7,17,1,1,6,19,11666.42,12,Whale Collector
HC-0665,Devon Petrov,2024-12-05,Direct,3,2,4,0,0,0,0,0.0,32,Window Shopper
HC-0666,Zara Novak,2026-06-09,Organic Search,6,3,9,2,3,4,0,0.0,6,Engaged Prospect
HC-0667,Priya Nguyen,2024-04-01,Paid Social,0,0,0,0,0,1,3,909.34,186,Lapsed Buyer
HC-0668,Naomi Kowalski,2026-07-22,Influencer,4,0,5,0,0,0,0,0.0,11,New Signup
HC-0669,Omar Reyes,2026-07-07,Organic Search,9,6,12,4,2,3,0,0.0,9,Engaged Prospect
HC-0670,Sam Okafor,2025-01-16,Convention Booth,5,0,2,0,0,0,0,0.0,21,Window Shopper
HC-0671,Avery Haddad,2024-10-15,Direct,5,0,5,0,0,1,0,0.0,29,Window Shopper
HC-0672,Morgan Barros,2025-01-30,Influencer,1,0,2,0,0,4,8,3626.11,46,At-Risk VIP
HC-0673,Skyler Torres,2022-10-22,Paid Social,2,0,0,0,0,5,8,4833.49,114,At-Risk VIP
HC-0674,Skyler Reyes,2026-07-18,Email Referral,0,1,5,0,0,0,0,0.0,13,New Signup
HC-0675,Quinn Silva,2024-09-27,Email Referral,4,4,1,0,0,1,0,0.0,42,Window Shopper
HC-0676,Sofia Petrov,2026-07-25,Paid Social,3,1,5,0,1,0,0,0.0,9,New Signup
HC-0677,Rowan Silva,2024-12-30,Email Referral,17,7,22,3,2,3,7,2990.31,15,Whale Collector
HC-0678,Morgan Nguyen,2023-11-30,Organic Search,0,0,0,0,0,2,3,893.41,172,Lapsed Buyer
HC-0679,Ingrid Lindqvist,2026-07-10,Convention Booth,2,1,4,0,0,2,0,0.0,3,New Signup
HC-0680,Quinn Torres,2026-07-23,Email Referral,4,0,2,2,0,2,0,0.0,6,New Signup
HC-0681,Felix Rossi,2024-04-10,Direct,10,2,5,4,0,7,9,4214.23,14,Whale Collector
HC-0682,Reese Anders,2025-09-25,Influencer,1,0,3,0,0,0,0,0.0,19,Window Shopper
HC-0683,Hayden Silva,2026-06-04,Organic Search,3,2,7,0,0,2,0,0.0,26,Window Shopper
HC-0684,Morgan Anders,2023-10-12,Email Referral,1,0,1,0,0,3,2,458.49,245,Lapsed Buyer
HC-0685,Skyler Barros,2024-12-02,Organic Search,2,0,1,0,0,7,10,4749.39,86,At-Risk VIP
HC-0686,Taylor Meyer,2026-06-14,Influencer,6,3,5,1,2,1,0,0.0,2,Engaged Prospect
HC-0687,Emerson Torres,2026-07-18,Direct,4,1,3,1,0,1,0,0.0,0,New Signup
HC-0688,Casey Kim,2025-01-27,Paid Social,2,3,0,0,0,1,0,0.0,16,Window Shopper
HC-0689,Rowan Anders,2025-12-21,Organic Search,5,0,4,0,0,0,0,0.0,12,Window Shopper
HC-0690,Jordan Rossi,2026-07-08,Influencer,0,0,2,1,0,2,0,0.0,4,New Signup
HC-0691,Victor Nguyen,2025-12-13,Organic Search,6,0,4,0,0,1,0,0.0,18,Window Shopper
HC-0692,Elena Lindqvist,2024-09-16,Direct,14,7,11,5,1,2,16,8775.82,14,Whale Collector
HC-0693,Victor Rossi,2026-03-27,Paid Social,10,0,2,0,0,2,0,0.0,25,Window Shopper
HC-0694,Sofia Reyes,2026-04-02,Email Referral,6,6,4,5,2,4,0,0.0,8,Engaged Prospect
HC-0695,Alex Reyes,2024-05-18,Organic Search,1,0,1,0,0,5,6,2193.72,90,At-Risk VIP
HC-0696,Avery Haddad,2024-09-24,Convention Booth,5,2,2,0,0,0,0,0.0,39,Window Shopper
HC-0697,Quinn Kim,2026-07-27,Organic Search,5,0,3,0,0,0,0,0.0,9,New Signup
HC-0698,Skyler Fuentes,2026-01-25,Organic Search,5,0,5,0,0,3,0,0.0,6,Window Shopper
HC-0699,Marcus Nguyen,2024-09-08,Convention Booth,0,0,0,0,0,1,1,242.35,289,Lapsed Buyer
HC-0700,Alex Lindqvist,2026-04-19,Paid Social,2,2,0,0,0,0,0,0.0,11,Window Shopper
HC-0701,Jordan Chen,2025-05-29,Direct,3,0,2,1,0,0,0,0.0,11,Window Shopper
HC-0702,Casey Barros,2023-06-05,Paid Social,2,0,0,0,0,0,3,996.23,291,Lapsed Buyer
HC-0703,Rowan Rossi,2026-02-15,Direct,6,2,4,0,0,0,0,0.0,6,Window Shopper
HC-0704,Victor Silva,2026-07-26,Organic Search,0,1,0,0,0,1,0,0.0,9,New Signup
HC-0705,Felix Nguyen,2025-03-16,Organic Search,5,1,1,0,0,2,0,0.0,20,Window Shopper
HC-0706,Priya Torres,2026-03-13,Direct,7,6,8,2,2,0,0,0.0,5,Engaged Prospect
HC-0707,Hayden Larsen,2024-12-10,Paid Social,9,2,1,0,0,0,0,0.0,14,Window Shopper
HC-0708,Naomi Larsen,2025-05-29,Paid Social,7,0,2,0,0,1,0,0.0,3,Window Shopper
HC-0709,Felix Meyer,2026-06-21,Paid Social,11,7,3,3,2,4,0,0.0,3,Engaged Prospect
HC-0710,Kenji Lindqvist,2023-05-10,Organic Search,0,0,0,0,0,0,3,1088.97,329,Lapsed Buyer
HC-0711,Naomi Petrov,2026-07-17,Paid Social,0,1,5,0,0,1,0,0.0,9,New Signup
HC-0712,Priya Nguyen,2026-07-05,Organic Search,9,5,9,2,2,5,0,0.0,9,Engaged Prospect
HC-0713,Sofia Kim,2025-09-01,Paid Social,2,1,0,0,0,1,0,0.0,33,Window Shopper
HC-0714,Riley Tanaka,2023-07-17,Direct,1,0,0,0,0,1,2,918.4,208,Lapsed Buyer
HC-0715,Casey Fuentes,2025-07-11,Convention Booth,1,1,5,0,0,0,0,0.0,3,Window Shopper
HC-0716,Elena Fuentes,2026-01-14,Convention Booth,5,3,10,3,2,7,0,0.0,1,Engaged Prospect
HC-0717,Casey Kowalski,2025-11-26,Influencer,3,1,0,0,0,2,0,0.0,36,Window Shopper
HC-0718,Avery Ito,2026-03-20,Organic Search,7,1,4,0,0,0,0,0.0,19,Window Shopper
HC-0719,Hayden Chen,2024-05-06,Paid Social,2,0,0,0,0,2,1,527.87,358,Lapsed Buyer
HC-0720,Diego Reyes,2025-11-14,Organic Search,3,1,0,0,0,1,0,0.0,13,Window Shopper
HC-0721,Kenji Silva,2024-05-06,Organic Search,1,0,0,0,0,10,10,4836.17,118,At-Risk VIP
HC-0722,Jordan Okafor,2026-07-25,Paid Social,0,2,2,0,0,1,0,0.0,1,New Signup
HC-0723,Morgan Meyer,2026-07-10,Organic Search,1,1,0,0,1,0,0,0.0,4,New Signup
HC-0724,Priya Haddad,2025-01-20,Direct,1,0,0,0,0,8,7,2989.29,76,At-Risk VIP
HC-0725,Casey Ito,2026-03-24,Email Referral,8,2,11,4,2,4,0,0.0,5,Engaged Prospect
HC-0726,Lucia Tanaka,2026-05-04,Convention Booth,9,5,5,2,2,3,0,0.0,1,Engaged Prospect
HC-0727,Marcus Reyes,2026-07-17,Organic Search,4,0,0,0,0,0,0,0.0,6,New Signup
HC-0728,Ingrid Silva,2026-07-09,Email Referral,2,0,3,2,1,1,0,0.0,8,New Signup
HC-0729,Diego Kim,2024-03-06,Organic Search,16,5,9,2,1,4,17,9102.48,1,Whale Collector
HC-0730,Naomi Chen,2026-03-01,Convention Booth,9,0,4,0,0,2,0,0.0,18,Window Shopper
HC-0731,Alex Novak,2026-05-22,Email Referral,8,5,9,3,2,1,0,0.0,2,Engaged Prospect
HC-0732,Priya Meyer,2025-03-05,Organic Search,7,2,1,1,0,0,0,0.0,36,Window Shopper
HC-0733,Elena Rossi,2026-07-29,Email Referral,1,1,2,1,0,0,0,0.0,4,New Signup
HC-0734,Casey Chen,2024-07-05,Organic Search,2,0,0,0,0,5,10,5338.44,79,At-Risk VIP
HC-0735,Priya Okafor,2026-05-22,Convention Booth,12,6,8,2,0,2,0,0.0,1,Engaged Prospect
HC-0736,Marcus Larsen,2025-03-17,Email Referral,9,1,2,0,0,3,0,0.0,13,Window Shopper
HC-0737,Naomi Mbeki,2026-01-03,Email Referral,6,4,5,0,0,0,0,0.0,33,Window Shopper
HC-0738,Avery Haddad,2025-09-02,Convention Booth,0,0,0,0,0,3,1,371.27,259,Lapsed Buyer
HC-0739,Rowan Barros,2024-10-12,Organic Search,9,2,2,0,0,1,0,0.0,38,Window Shopper
HC-0740,Marcus Nguyen,2026-04-29,Organic Search,7,4,4,3,2,1,0,0.0,3,Engaged Prospect
HC-0741,Emerson Reyes,2025-09-07,Email Referral,6,0,1,0,0,0,0,0.0,23,Window Shopper
HC-0742,Jordan Ito,2026-07-16,Convention Booth,3,0,3,1,0,0,0,0.0,0,New Signup
HC-0743,Alex Anders,2024-12-08,Paid Social,0,0,0,0,0,2,1,354.29,295,Lapsed Buyer
HC-0744,Riley Fuentes,2022-07-22,Organic Search,2,1,0,0,0,4,13,6401.6,106,At-Risk VIP
HC-0745,Morgan Osei,2026-07-20,Paid Social,3,0,5,0,0,1,0,0.0,13,New Signup
HC-0746,Morgan Reyes,2024-11-01,Influencer,5,2,0,0,0,0,0,0.0,14,Window Shopper
HC-0747,Morgan Nguyen,2026-07-30,Influencer,4,0,3,1,0,1,1,292.15,4,New Signup
HC-0748,Sofia Kowalski,2023-03-08,Organic Search,20,6,10,3,1,11,6,3527.53,7,Whale Collector
HC-0749,Victor Mbeki,2026-07-20,Paid Social,1,0,1,1,1,0,0,0.0,11,New Signup
HC-0750,Casey Haddad,2026-06-22,Convention Booth,10,2,11,2,2,4,0,0.0,5,Engaged Prospect
HC-0751,Zara Rossi,2026-03-03,Paid Social,9,1,1,0,0,2,0,0.0,5,Window Shopper
HC-0752,Emerson Anders,2023-05-08,Paid Social,0,0,0,0,0,1,2,741.85,241,Lapsed Buyer
HC-0753,Casey Barros,2025-05-05,Organic Search,11,2,0,0,0,0,0,0.0,6,Window Shopper
HC-0754,Elena Reyes,2026-04-09,Influencer,8,3,11,3,3,2,0,0.0,1,Engaged Prospect
HC-0755,Sam Reyes,2026-02-04,Organic Search,13,5,6,3,2,1,0,0.0,1,Engaged Prospect
